镜号	类别	资源	镜末状态	逻辑引用	实际采用	SHA256
EP001_SH01	人物	陆照	dry	制作/前三集_v8_v2_文本定稿/资产/复用/陆照_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/陆照_01.jpg	fae19e1d4274a88a19762e40b7f2d517a20f23a33776d97bf82a4fd3d40d74cd
EP001_SH01	人物	麻铎	dry	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_01.jpg	dc99a87afada14bce67464ec31134885fe1bd8ac6730b6e14b7a0b3cd8d05c84
EP001_SH01	场景	梯口		制作/前三集_v8_v2_文本定稿/资产/复用/梯口_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/梯口_01.jpg	f2dc38b16dbab92e486a279b0c5b272311b02c71672550fc259746a39813b5dd
EP001_SH01	道具	死期牌		制作/前三集_v8_v2_文本定稿/资产/复用/死期牌_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/死期牌_01.jpg	0b3e39fcec8097ba75f6620bbbb89ab52e8da118357406646c180a13d2451c64
EP001_SH02	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH02	场景	闸舱		制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	5681cb405ab726c6987b291dda05338b0df95ba4d0f1868af3572ea9d56eba50
EP001_SH02	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH03	人物	闻溪	wet	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	64c1ea1e4dafba9cb6c138118bf2c5a86511039606b129d9a81c5f2d938ffecd
EP001_SH03	人物	灰胡子工人	wet	制作/前三集_v8_v2_文本定稿/资产/复用/灰胡子工人_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/灰胡子工人_04.jpg	ef8f1acda1cab8b1109650e88c024a6db2b4611677a0ccc4aeb4046bc6aead41
EP001_SH03	人物	阿砾	wet	制作/前三集_v8_v2_文本定稿/资产/复用/阿砾_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/阿砾_04.jpg	47ef2919d77733639159be89d5dbb31e522ae4c0dfab75db37ff876746336213
